Date_Key,PM25,Temp,Label
2018년09월_5일,10.0,28.5,0
2018년09월_6일,18.0,28.2,0
2018년09월_7일,12.0,25.5,0
2018년09월_8일,10.0,27.7,0
2018년09월_9일,10.0,28.9,0
2018년09월_10일,5.0,28.4,0
2018년09월_11일,5.0,26.1,0
2018년09월_12일,7.0,28.2,0
2018년09월_13일,9.0,28.3,0
2018년09월_14일,9.0,26.8,0
2018년09월_15일,7.0,26.0,0
2018년09월_16일,25.0,23.9,0
2018년09월_17일,15.0,27.7,0
2018년09월_18일,17.0,26.5,0
2018년09월_19일,19.0,26.6,0
2018년09월_20일,9.0,20.1,1
2018년09월_21일,4.0,21.9,1
2018년09월_22일,11.0,25.5,0
2018년09월_23일,10.0,25.3,0
2018년09월_24일,6.0,22.1,0
2018년09월_25일,7.0,24.3,0
2018년09월_26일,4.0,24.8,0
2018년09월_27일,4.0,25.0,0
2018년09월_28일,6.0,22.2,0
2018년09월_29일,8.0,27.0,0
2018년09월_30일,10.0,21.6,1
2018년10월_1일,8.0,19.7,1
2018년10월_2일,13.0,22.0,1
2018년10월_3일,15.0,24.2,0
2018년10월_4일,11.0,25.6,0
2018년10월_5일,5.0,19.0,1
2018년10월_6일,3.0,21.7,1
2018년10월_7일,10.0,21.1,1
2018년10월_8일,8.0,20.9,1
2018년10월_9일,11.0,19.8,1
2018년10월_10일,10.0,16.7,1
2018년10월_11일,7.0,13.9,0
2018년10월_12일,12.0,17.4,1
2018년10월_13일,21.0,19.8,1
2018년10월_14일,22.0,20.3,1
2018년10월_15일,37.0,21.0,0
2018년10월_16일,26.0,20.3,1
2018년10월_17일,16.0,18.6,1
2018년10월_18일,7.0,19.0,1
2018년10월_19일,9.0,20.4,1
2018년10월_20일,20.0,21.4,1
2018년10월_21일,22.0,21.1,1
2018년10월_22일,33.0,20.6,1
2018년10월_23일,30.0,16.9,1
2018년10월_24일,18.0,18.7,1
2018년10월_25일,19.0,21.2,1
2018년10월_26일,19.0,14.7,1
2018년10월_27일,6.0,11.6,0
2018년10월_28일,8.0,13.5,0
2018년10월_29일,7.0,11.7,0
2018년10월_30일,10.0,11.6,0
2018년10월_31일,12.0,12.6,0
2018년11월_1일,19.0,15.2,1
2018년11월_2일,26.0,19.0,1
2018년11월_3일,35.0,19.1,1
2018년11월_4일,30.0,19.4,1
2018년11월_5일,39.0,18.3,0
2018년11월_6일,71.0,17.5,0
2018년11월_7일,45.0,15.7,0
2018년11월_8일,5.0,14.7,1
2018년11월_9일,24.0,15.4,1
2018년11월_10일,46.0,17.1,0
2018년11월_11일,41.0,10.9,0
2018년11월_12일,17.0,15.1,1
2018년11월_13일,24.0,15.4,1
2018년11월_14일,22.0,16.6,1
2018년11월_15일,33.0,16.2,1
2018년11월_16일,39.0,14.5,0
2018년11월_17일,17.0,11.4,0
2018년11월_18일,22.0,10.7,0
2018년11월_19일,31.0,11.3,0
2018년11월_20일,18.0,12.7,0
2018년11월_21일,17.0,8.2,0
2018년11월_22일,9.0,7.1,0
2018년11월_23일,11.0,7.6,0
2018년11월_24일,15.0,3.8,0
2018년11월_25일,34.0,9.8,0
2018년11월_26일,42.0,13.6,0
2018년11월_27일,52.0,12.5,0
2018년11월_28일,21.0,11.1,0
2018년11월_29일,21.0,6.7,0
2018년11월_30일,22.0,8.0,0
2019년09월_1일,12.0,27.8,0
2019년09월_2일,14.0,29.7,0
2019년09월_3일,13.0,28.0,0
2019년09월_4일,5.0,25.5,0
2019년09월_5일,5.0,27.6,0
2019년09월_6일,9.0,29.1,0
2019년09월_7일,6.0,29.5,0
2019년09월_8일,22.0,27.3,0
2019년09월_9일,25.0,28.0,0
2019년09월_10일,9.0,26.5,0
2019년09월_11일,5.0,28.7,0
2019년09월_12일,5.0,22.9,0
2019년09월_13일,6.0,29.3,0
2019년09월_14일,12.0,24.1,0
2019년09월_15일,11.0,30.0,0
2019년09월_16일,6.0,30.5,0
2019년09월_17일,9.0,29.0,0
2019년09월_18일,12.0,25.4,0
2019년09월_19일,10.0,26.0,0
2019년09월_20일,10.0,24.2,0
2019년09월_21일,7.0,22.1,0
2019년09월_22일,3.0,19.6,1
2019년09월_23일,6.0,24.6,0
2019년09월_24일,12.0,26.5,0
2019년09월_25일,16.0,27.4,0
2019년09월_26일,16.0,29.0,0
2019년09월_27일,12.0,27.0,0
2019년09월_28일,17.0,29.2,0
2019년09월_29일,25.0,28.6,0
2019년09월_30일,33.0,29.9,0
2019년10월_1일,31.0,28.2,0
2019년10월_2일,16.0,24.2,0
2019년10월_3일,5.0,27.3,0
2019년10월_4일,16.0,27.8,0
2019년10월_5일,21.0,21.9,1
2019년10월_6일,5.0,22.7,0
2019년10월_7일,6.0,17.9,1
2019년10월_8일,10.0,19.8,1
2019년10월_9일,9.0,20.4,1
2019년10월_10일,15.0,19.8,1
2019년10월_11일,19.0,26.1,0
2019년10월_12일,11.0,23.3,0
2019년10월_13일,9.0,23.8,0
2019년10월_14일,16.0,19.6,1
2019년10월_15일,8.0,20.4,1
2019년10월_16일,14.0,20.8,1
2019년10월_17일,16.0,21.6,1
2019년10월_18일,9.0,22.7,0
2019년10월_19일,11.0,23.1,0
2019년10월_20일,23.0,22.9,0
2019년10월_21일,26.0,24.6,0
2019년10월_22일,24.0,24.4,0
2019년10월_23일,14.0,20.7,1
2019년10월_24일,16.0,23.8,0
2019년10월_25일,12.0,22.0,1
2019년10월_26일,13.0,14.9,1
2019년10월_27일,14.0,17.4,1
2019년10월_28일,19.0,17.7,1
2019년10월_29일,20.0,17.6,1
2019년10월_30일,11.0,17.7,1
2019년10월_31일,25.0,19.7,1
2019년11월_1일,34.0,20.5,1
2019년11월_2일,40.0,18.7,0
2019년11월_3일,33.0,22.1,0
2019년11월_4일,7.0,20.3,1
2019년11월_5일,20.0,18.4,1
2019년11월_6일,30.0,16.5,1
